generation,best_gen,best_ever,mean_fitness,greedy_fitness,mean_certainty,t_eval_max,elapsed
213,-8.92e-05,-6.173e-05,-0.00502786,-0.8448754,0.60667,10,6.61
214,-8.92e-05,-6.173e-05,-0.00546701,-0.84290726,0.60711,10,6.64
215,-8.92e-05,-6.173e-05,-0.00928052,-0.84290726,0.60553,10,6.67
216,-8.92e-05,-6.173e-05,-0.00423007,-0.75912105,0.60685,10,6.7
217,-8.92e-05,-6.173e-05,-0.00261457,-0.88045511,0.6075,10,6.73
218,-8.92e-05,-6.173e-05,-0.00455938,-0.90007921,0.60862,10,6.76
219,-8.92e-05,-6.173e-05,-0.00106797,-0.8970124,0.60897,10,6.79
220,-8.92e-05,-6.173e-05,-0.01152114,-0.8957876,0.60985,10,6.82
221,-8.92e-05,-6.173e-05,-0.00497411,-0.8970124,0.61321,10,6.85
222,-8.92e-05,-6.173e-05,-0.00196539,-0.71188994,0.61346,10,6.88
223,-8.92e-05,-6.173e-05,-0.0045972,-0.89932605,0.61367,10,6.91
224,-8.92e-05,-6.173e-05,-0.00685966,-0.89334706,0.61212,10,6.94
225,-8.92e-05,-6.173e-05,-0.00589579,-0.72598897,0.61443,10,6.97
226,-8.92e-05,-6.173e-05,-0.00159746,-0.89334706,0.61253,10,7.0
227,-8.92e-05,-6.173e-05,-0.00649056,-0.71342686,0.61386,10,7.05
228,-8.92e-05,-6.173e-05,-0.00160238,-0.70031173,0.61394,10,7.08
229,-8.92e-05,-6.173e-05,-0.00111617,-0.68527332,0.61513,10,7.11
230,-8.92e-05,-6.173e-05,-0.00910373,-0.70202113,0.61518,10,7.14
231,-8.92e-05,-6.173e-05,-0.00172076,-0.70835025,0.61379,10,7.17
232,-8.92e-05,-6.173e-05,-0.00873376,-0.70809401,0.61386,10,7.2
233,-8.92e-05,-6.173e-05,-0.01230131,-0.7063846,0.61626,10,7.23
234,-8.92e-05,-6.173e-05,-0.00527202,-0.69751162,0.61569,10,7.26
235,-8.92e-05,-6.173e-05,-0.0151757,-0.65905008,0.61699,10,7.29
236,-8.92e-05,-6.173e-05,-0.00169799,-0.66764634,0.61743,10,7.32
237,-8.92e-05,-6.173e-05,-0.00717156,-0.66764634,0.61949,10,7.36
238,-8.92e-05,-6.173e-05,-0.00316109,-0.71049863,0.61944,10,7.39
239,-8.92e-05,-6.173e-05,-0.00073021,-0.67738485,0.6194,10,7.42
240,-8.92e-05,-6.173e-05,-0.00154056,-0.66442761,0.61936,10,7.45
241,-8.92e-05,-6.173e-05,-0.00245892,-0.66442761,0.61743,10,7.48
242,-8.92e-05,-6.173e-05,-0.0081787,-0.66075007,0.61729,10,7.51
243,-8.92e-05,-6.173e-05,-0.00491517,-0.58846189,0.61802,10,7.54
244,-8.92e-05,-6.173e-05,-0.00414347,-0.62640664,0.62004,10,7.57
245,-8.92e-05,-6.173e-05,-0.00945985,-0.63803454,0.62066,10,7.6
246,-8.92e-05,-6.173e-05,-0.00735783,-0.63462515,0.6228,10,7.63
247,-8.92e-05,-6.173e-05,-0.0042191,-0.66145879,0.62205,10,7.66
248,-8.92e-05,-6.173e-05,-0.00451161,-0.63462515,0.61974,10,7.69
249,-8.92e-05,-6.173e-05,-0.00821754,-0.60772443,0.61939,10,7.72
250,-8.92e-05,-6.173e-05,-0.00694382,-0.62541979,0.61791,10,7.75
251,-8.92e-05,-6.173e-05,-0.01161047,-0.51989717,0.62001,10,7.78
252,-8.92e-05,-6.173e-05,-0.01044367,-0.49997173,0.62152,10,7.81
253,-8.92e-05,-6.173e-05,-0.00532186,-0.50280315,0.62166,10,7.84
254,-8.92e-05,-6.173e-05,-0.00844545,-0.48450781,0.62205,10,7.87
255,-8.92e-05,-6.173e-05,-0.01151449,-0.45397975,0.62239,10,7.9
256,-8.92e-05,-6.173e-05,-0.00352732,-0.47534728,0.62371,10,7.93
257,-8.92e-05,-6.173e-05,-0.00924508,-0.43534728,0.62613,10,7.96
258,-8.92e-05,-6.173e-05,-0.00068686,-0.41952892,0.62768,10,7.99
259,-8.92e-05,-6.173e-05,-0.00154275,-0.41952892,0.6272,10,8.02
260,-8.92e-05,-6.173e-05,-0.00456063,-0.43848316,0.62674,10,8.05
261,-8.92e-05,-6.173e-05,-0.00356308,-0.44354344,0.62465,10,8.09
262,-8.92e-05,-6.173e-05,-0.00043006,-0.43721433,0.62474,10,8.12
263,-8.92e-05,-6.173e-05,-0.00604598,-0.44442369,0.62536,10,8.15
264,-8.92e-05,-6.173e-05,-0.01217738,-0.44162518,0.62614,10,8.18
265,-8.92e-05,-6.173e-05,-0.00393238,-0.45459528,0.62739,10,8.21
266,-8.92e-05,-6.173e-05,-0.00225939,-0.43721433,0.62937,10,8.24
267,-8.92e-05,-6.173e-05,-0.0073715,-0.41548677,0.62717,10,8.27
268,-8.92e-05,-6.173e-05,-0.02068954,-0.40788882,0.62773,10,8.3
269,-8.92e-05,-6.173e-05,-0.0008002,-0.41548677,0.62936,10,8.33
270,-8.92e-05,-6.173e-05,-0.00776721,-0.39935773,0.63051,10,8.36
271,-8.92e-05,-6.173e-05,-0.00598328,-0.46689876,0.63002,10,8.39
272,-8.92e-05,-6.173e-05,-0.00468181,-0.40656709,0.6309,10,8.42
273,-8.92e-05,-6.173e-05,-0.00458495,-0.45076973,0.63006,10,8.45
274,-8.92e-05,-6.173e-05,-0.00444072,-0.40531518,0.62906,10,8.48
275,-8.92e-05,-6.173e-05,-0.00194145,-0.6548906,0.63025,10,8.51
276,-8.92e-05,-6.173e-05,-0.00620019,-0.6543958,0.62873,10,8.54
277,-8.92e-05,-6.173e-05,-0.00512549,-0.44318029,0.63039,10,8.57
278,-8.92e-05,-6.173e-05,-0.00436936,-0.66145059,0.62979,10,8.6
279,-8.92e-05,-6.173e-05,-0.01426498,-0.64072524,0.63164,10,8.63
280,-8.92e-05,-6.173e-05,-0.00800826,-0.62592203,0.6317,10,8.66
281,-8.92e-05,-6.173e-05,-0.00019997,-0.62908365,0.63164,10,8.69
282,-8.92e-05,-6.173e-05,-0.00740324,-0.60627146,0.63143,10,8.72
283,-8.92e-05,-6.173e-05,-0.00531402,-0.36433597,0.63341,10,8.75
284,-8.92e-05,-6.173e-05,-0.00475055,-0.36367322,0.63226,10,8.78
