level,seed,gen,best_fitness,mean_fitness,best_expr,node_count,total_info,monotonicity,mean_rate,parsimony
1,0,2440,-0.0048606,-0.01304344,0,1,0.3485,0.0,0.0,0.005
1,0,2450,-0.0048606,-2000000.01174449,0,1,0.3485,0.0,0.0,0.005
1,0,2460,-0.0048606,-2000000.01190951,0,1,0.3485,0.0,0.0,0.005
1,0,2470,-0.0048606,-1000000.0127816,0,1,0.3485,0.0,0.0,0.005
1,0,2480,-0.0048606,-1000000.01192237,0,1,0.3485,0.0,0.0,0.005
1,0,2490,-0.0048606,-1000000.0128313,0,1,0.3485,0.0,0.0,0.005
1,0,2500,-0.0048606,-0.01216395,0,1,0.3485,0.0,0.0,0.005
1,0,2510,-0.0048606,-1000000.01220986,0,1,0.3485,0.0,0.0,0.005
1,0,2520,-0.0048606,-3000000.01155305,0,1,0.3485,0.0,0.0,0.005
1,0,2530,-0.0048606,-1000000.01197076,0,1,0.3485,0.0,0.0,0.005
1,0,2540,-0.0048606,-2000000.01236267,0,1,0.3485,0.0,0.0,0.005
1,0,2550,-0.0048606,-1000000.01171788,0,1,0.3485,0.0,0.0,0.005
1,0,2560,-0.0048606,-3000000.01164652,0,1,0.3485,0.0,0.0,0.005
1,0,2570,-0.0048606,-0.01216723,0,1,0.3485,0.0,0.0,0.005
1,0,2580,-0.0048606,-0.01235123,0,1,0.3485,0.0,0.0,0.005
1,0,2590,-0.0048606,-1000000.01210892,0,1,0.3485,0.0,0.0,0.005
1,0,2600,-0.0048606,-0.01164398,0,1,0.3485,0.0,0.0,0.005
1,0,2610,-0.0048606,-2000000.01219485,0,1,0.3485,0.0,0.0,0.005
1,0,2620,-0.0048606,-4000000.01149882,0,1,0.3485,0.0,0.0,0.005
1,0,2630,-0.0048606,-0.01191235,0,1,0.3485,0.0,0.0,0.005
